25 100
13
1 30
2 13 0
3 5 -1
2 7 13
2 3 20
2 10 -1
3 13 7
2 3 13
3 0 13
2 3 16
3 20 3
2 8 19
3 0 -1
100
1 1000
2 222 0
2 526 222
2 81 748
2 128 829
2 35 957
3 222 526
2 291 222
2 242 -1
2 20 513
2 169 533
2 42 702
3 702 42
3 957 35
3 533 169
2 191 533
2 1 724
2 55 -1
3 222 291
3 533 191
2 117 533
3 0 222
2 7 725
2 270 0
2 354 -1
2 55 650
2 227 270
2 68 -1
2 89 -1
2 32 957
2 45 -1
2 30 -1
2 13 497
3 724 1
2 46 -1
2 19 705
2 26 -1
2 27 -1
2 5 989
2 20 -1
3 829 128
3 957 32
2 101 829
2 21 930
2 16 732
3 270 227
2 57 270
2 129 327
2 53 -1
3 533 117
2 126 -1
2 149 -1
3 0 270
2 382 -1
3 705 19
2 131 0
2 96 533
2 103 131
3 513 20
2 29 234
2 134 -1
3 829 101
3 930 21
3 650 55
2 6 994
2 46 629
2 223 -1
2 39 456
2 131 829
2 93 -1
2 73 -1
3 629 46
3 327 129
2 44 629
2 147 -1
2 9 510
3 456 39
2 185 -1
2 166 327
2 76 -1
2 52 673
3 725 7
3 994 6
2 23 960
2 36 -1
2 24 -1
2 40 -1
2 9 519
2 4 493
2 9 -1
2 18 -1
3 960 23
3 829 131
2 28 829
2 93 857
2 30 950
2 8 980
3 950 30
3 980 8
2 12 950
100
1 10000
2 3261 0
2 3089 3261
2 585 6350
2 995 6935
2 840 7930
2 649 8770
2 291 9419
2 168 9710
3 9419 291
3 7930 840
2 935 -1
3 6935 995
3 6350 585
2 2330 6350
3 0 3261
2 1973 0
2 357 1973
3 3261 3089
2 3952 2330
3 0 1973
3 9710 168
3 8770 649
3 2330 3952
2 490 8680
2 6709 -1
2 5180 -1
2 2998 2330
2 717 9170
3 9170 717
3 1973 357
3 8680 490
3 6350 2330
2 4807 -1
2 5802 -1
3 2330 2998
2 4730 0
2 4783 4730
2 264 9513
2 98 9777
3 4730 4783
2 4035 4730
3 0 4730
2 4788 -1
2 126 8765
2 4346 0
2 484 8891
2 419 -1
2 160 4346
2 133 9375
3 9777 98
2 370 -1
2 56 9777
2 156 9833
2 43 4506
3 4346 160
2 280 -1
2 163 4549
2 181 -1
3 4506 43
2 120 4346
3 9375 133
2 198 -1
2 156 -1
2 55 4466
3 4466 55
2 148 -1
2 230 -1
3 4549 163
3 9777 56
2 314 -1
3 8891 484
2 912 -1
2 144 4466
2 588 8891
2 87 4610
2 104 -1
2 107 -1
2 16 4697
2 15 4713
2 24 9479
2 6 9503
3 0 4346
2 1274 0
2 2344 1274
2 291 3618
2 331 3909
2 74 4240
3 4730 4035
3 4610 87
2 45 9777
2 689 4728
2 629 5417
2 225 6046
2 1886 6271
2 58 4610
2 658 -1
2 300 8157
2 371 -1
2 382 -1
1000
1 100
2 2 0
2 3 2
2 8 5
2 2 13
2 6 15
3 15 6
2 6 15
2 6 21
2 5 27
3 0 2
2 7 32
2 10 39
3 2 3
2 6 49
2 7 55
3 27 5
3 21 6
3 49 6
2 59 -1
2 4 0
2 9 21
2 36 62
3 0 4
2 1 30
2 9 -1
2 3 0
3 32 7
3 21 9
2 10 -1
2 10 -1
2 10 -1
3 0 3
2 1 98
2 4 0
2 9 21
2 7 31
2 1 4
2 6 49
3 13 2
3 39 10
2 1 99
2 3 38
3 15 6
2 8 13
2 3 41
2 9 -1
3 41 3
2 8 41
3 5 8
2 1 5
3 98 1
2 7 6
3 13 8
2 7 13
2 10 -1
3 13 7
2 10 -1
2 7 13
2 5 -1
2 7 -1
2 7 -1
3 4 1
2 1 4
2 1 20
3 5 1
2 1 5
2 1 98
3 49 6
2 3 49
2 9 -1
2 6 -1
2 4 -1
2 10 -1
2 9 -1
2 1 52
2 7 -1
3 38 3
2 5 -1
3 0 4
3 98 1
2 1 98
2 10 -1
3 13 7
3 71 -1
2 5 13
3 41 8
2 9 38
2 1 18
3 49 3
2 1 19
2 5 47
2 10 -1
3 13 5
3 98 1
2 5 13
2 5 -1
2 7 -1
2 2 53
2 4 0
3 13 5
2 7 -1
2 7 -1
3 19 1
3 55 7
2 8 -1
2 6 55
2 8 -1
3 4 1
2 9 -1
2 5 13
2 4 -1
2 2 -1
3 13 5
2 6 -1
2 10 -1
2 5 13
2 3 -1
2 5 -1
2 1 4
2 3 -1
2 2 -1
2 6 -1
2 2 -1
2 1 19
2 10 -1
2 2 -1
2 1 61
2 8 -1
2 4 -1
2 3 -1
2 10 -1
2 1 98
3 52 1
2 6 -1
3 38 9
2 4 38
3 99 1
2 6 -1
2 4 42
3 5 1
3 4 1
3 47 5
2 2 4
2 4 46
3 53 2
2 1 99
3 46 4
2 1 46
2 4 47
2 7 -1
2 2 51
2 2 53
3 8 -1
3 47 4
2 1 47
